speed,kDelta,kPhiDot,kPhi,kPsi,kY
2.000,83.7617,-0.5858,2.0631,0.0891,0.2011
2.500,311.5004,-0.2918,3.8696,0.1129,0.1715
3.200,29.2830,-0.0490,25.6400,0.0870,0.1500
3.600,33.1311,-0.0535,19.8266,0.1056,0.1338
4.000,-0.3393,2.1328,19.5752,0.0932,0.1281
4.105,821.4058,-0.0270,12.0137,0.1165,0.1156
4.474,905.2327,-0.0224,12.2133,0.1273,0.1077
4.800,44.6406,-0.0529,13.2253,0.1720,0.1001
4.842,989.1959,-0.0191,12.2579,0.1390,0.1006
5.000,-0.6068,3.0111,17.2088,0.1442,0.0989
5.211,1073.2493,-0.0167,12.2016,0.1516,0.0942
5.500,1139.3338,-0.0152,12.1099,0.1620,0.0896
5.579,1157.3617,-0.0148,12.0795,0.1649,0.0884
5.947,1241.5124,-0.0133,11.9152,0.1791,0.0832
6.000,-15.4890,0.2849,22.8328,0.6720,0.0821
6.316,1325.6887,-0.0121,11.7249,0.1941,0.0785
6.684,1409.8832,-0.0110,11.5197,0.2099,0.0742
7.000,1482.0620,-0.0103,11.3381,0.2242,0.0709
7.053,1494.0929,-0.0102,11.3076,0.2266,0.0703
7.421,1578.3175,-0.0095,11.0943,0.2443,0.0668
7.789,1662.5592,-0.0089,10.8838,0.2628,0.0636
8.000,-15.8532,0.2315,19.9489,0.8353,0.0617
8.158,1746.8217,-0.0083,10.6789,0.2824,0.0606
8.340,78.2238,-0.0388,9.2493,0.4676,0.0571
8.526,1831.1097,-0.0078,10.4815,0.3029,0.0579
8.895,1915.4290,-0.0074,10.2931,0.3245,0.0554
9.263,1999.7856,-0.0071,10.1144,0.3470,0.0531
9.632,2084.1863,-0.0067,9.9459,0.3706,0.0509
10.000,2168.6381,-0.0064,9.7879,0.3953,0.0490
12.000,115.3790,-0.0290,9.2800,0.8550,0.0400
