speed,kDelta,kPhiDot,kPhi,kPsi,kY
2.000,83.7617,-0.5858,2.0631,0.0891,0.2011
2.500,22.0000,-0.0900,23.3000,0.0580,0.1950
3.000,-8.2363,0.0557,92.7496,0.3642,0.1616
3.200,29.2830,-0.0490,25.6400,0.0870,0.1500
3.368,-13.1052,0.2174,18.6312,0.4135,0.1450
3.600,33.1311,-0.0535,19.8266,0.1056,0.1338
3.737,-11.7081,0.2788,18.6241,0.4389,0.1306
4.000,-0.3393,2.1328,19.5752,0.0932,0.1281
4.105,-10.8632,0.2971,20.8508,0.4708,0.1190
4.474,-10.9320,0.3012,22.3764,0.5072,0.1094
4.800,44.6406,-0.0529,13.2253,0.1720,0.1001
4.842,-11.4335,0.3000,23.3435,0.5455,0.1012
5.000,-0.6068,3.0111,17.2088,0.1442,0.0989
5.211,-12.2945,0.2963,23.7511,0.5850,0.0942
5.579,-13.5338,0.2913,23.6074,0.6253,0.0881
6.000,-15.4890,0.2849,22.8328,0.6720,0.0821
7.053,-23.7843,0.2683,19.0172,0.7918,0.0701
8.000,-15.8532,0.2315,19.9489,0.8353,0.0617
8.340,78.2238,-0.0388,9.2493,0.4676,0.0571
10.000,0.0000,-402936.9975,1406.8634,0.8467,0.0488
12.000,115.3790,-0.0290,9.2800,0.8550,0.0400
