speed,kDelta,kPhiDot,kPhi,kPsi,kY
2.000,4.1135,-0.2302,24.5118,0.0352,0.2440
2.421,5.4851,-0.1598,22.6481,0.0479,0.2072
2.500,22.0000,-0.0900,23.3000,0.0580,0.1950
2.842,6.7233,-0.1219,21.0287,0.0624,0.1776
3.000,7.1503,-0.1120,20.4874,0.0683,0.1681
3.200,29.2830,-0.0490,25.6400,0.0870,0.1500
3.263,7.8139,-0.0988,19.6629,0.0791,0.1541
3.368,8.0620,-0.0944,19.3593,0.0837,0.1489
3.600,33.1311,-0.0535,19.8266,0.1056,0.1338
3.684,8.7442,-0.0836,18.5344,0.0989,0.1352
3.737,8.8486,-0.0821,18.4090,0.1016,0.1331
4.000,-0.3393,2.1328,19.5752,0.0932,0.1281
4.105,9.5015,-0.0731,17.6231,0.1223,0.1200
4.474,10.0117,-0.0665,16.9905,0.1464,0.1091
4.526,10.0723,-0.0657,16.9121,0.1501,0.1077
4.800,44.6406,-0.0529,13.2253,0.1720,0.1001
4.842,10.3692,-0.0616,16.5024,0.1742,0.1000
4.947,10.4417,-0.0605,16.3885,0.1829,0.0976
5.000,10.4728,-0.0599,16.3357,0.1874,0.0965
5.211,10.5622,-0.0581,16.1523,0.2062,0.0923
5.368,10.5911,-0.0570,16.0434,0.2212,0.0894
5.579,10.5762,-0.0558,15.9360,0.2425,0.0858
5.789,10.4968,-0.0549,15.8715,0.2653,0.0825
5.947,10.3922,-0.0545,15.8510,0.2833,0.0802
6.000,-15.4890,0.2849,22.8328,0.6720,0.0821
6.211,10.1251,-0.0544,15.8701,0.3152,0.0767
6.316,9.9833,-0.0546,15.8964,0.3287,0.0754
6.632,9.4234,-0.0558,16.0404,0.3712,0.0719
6.684,9.3084,-0.0562,16.0740,0.3786,0.0713
7.053,8.2938,-0.0603,16.3909,0.4335,0.0677
7.421,6.7729,-0.0703,16.8704,0.4945,0.0645
7.474,6.4920,-0.0727,16.9557,0.5039,0.0641
7.789,4.0156,-0.1102,17.6338,0.5687,0.0617
7.895,1.9012,-0.2211,18.0799,0.6046,0.0611
8.000,-15.8532,0.2315,19.9489,0.8353,0.0617
8.158,1.8414,-0.2339,18.1218,0.6374,0.0592
8.316,1.7510,-0.2486,18.2096,0.6574,0.0582
8.340,78.2238,-0.0388,9.2493,0.4676,0.0571
8.526,1.6999,-0.2635,18.0954,0.6834,0.0568
8.737,1.5396,-0.3009,17.8906,0.7103,0.0555
8.895,1.4174,-0.3335,17.8153,0.7303,0.0546
9.158,0.0001,-1969.1882,50.0027,0.7593,0.0531
9.263,0.0001,-1552.6772,50.5874,0.7712,0.0525
9.579,0.0000,-11546.3103,68.7793,0.8049,0.0509
9.632,0.0000,-24748.0694,177.2319,0.8072,0.0506
10.000,0.0000,-402936.9975,1406.8634,0.8467,0.0488
12.000,115.3790,-0.0290,9.2800,0.8550,0.0400
