speed,kDelta,kPhiDot,kPhi,kPsi,kY
8.939,100.3467,-0.0423,6.0548,0.3919,0.0546
9.015,101.4116,-0.0418,6.0408,0.3970,0.0541
9.091,102.5162,-0.0416,6.0064,0.4026,0.0537
9.100,102.6410,-0.0415,6.0042,0.4033,0.0536
9.167,103.5740,-0.0412,5.9852,0.4080,0.0532
9.242,104.6617,-0.0409,5.9545,0.4137,0.0527
9.300,105.4536,-0.0407,5.9358,0.4179,0.0524
9.318,105.7084,-0.0406,5.9316,0.4192,0.0523
9.394,106.8494,-0.0402,5.9204,0.4244,0.0519
9.470,107.9177,-0.0400,5.8807,0.4305,0.0514
9.545,108.9935,-0.0396,5.8714,0.4357,0.0510
9.621,110.1553,-0.0392,5.8581,0.4410,0.0506
9.697,111.2186,-0.0391,5.8163,0.4474,0.0502
9.773,112.3211,-0.0386,5.8153,0.4525,0.0498
9.848,113.4168,-0.0384,5.7871,0.4584,0.0494
9.924,114.5613,-0.0381,5.7636,0.4643,0.0490
10.000,115.6879,-0.0377,5.7633,0.4694,0.0486
