speed,kDelta,kPhiDot,kPhi,kPsi,kY
2.000,83.7617,-0.5858,2.0631,0.0891,0.2011
2.500,22.0000,-0.0900,23.3000,0.0580,0.1950
3.200,29.2830,-0.0490,25.6400,0.0870,0.1500
3.600,33.1311,-0.0535,19.8266,0.1056,0.1338
4.000,-0.3393,2.1328,19.5752,0.0932,0.1281
4.105,-0.3749,1.8823,19.3699,0.0982,0.1242
4.474,-0.6225,1.0383,18.7669,0.1178,0.1120
4.800,44.6406,-0.0529,13.2253,0.1720,0.1001
4.842,-1.0854,0.5445,18.3366,0.1417,0.1018
5.000,-0.6068,3.0111,17.2088,0.1442,0.0989
5.211,0.0001,-6446.9872,14.7763,0.1708,0.0931
5.579,-2.8913,0.1680,18.0114,0.2069,0.0859
5.947,-4.5572,0.0942,18.1838,0.2534,0.0798
6.000,-15.4890,0.2849,22.8328,0.6720,0.0821
6.316,0.0001,-4469.2803,18.2847,0.2592,0.0758
6.684,0.0002,-2490.2489,17.6984,0.2973,0.0713
7.053,0.0003,-1628.3005,17.1108,0.3377,0.0675
7.421,0.0002,-2969.8471,18.6536,0.3751,0.0641
7.789,0.0001,-7196.3209,21.8977,0.4113,0.0612
8.000,-15.8532,0.2315,19.9489,0.8353,0.0617
8.158,0.0000,-11662.4844,25.6245,0.4492,0.0585
8.340,78.2238,-0.0388,9.2493,0.4676,0.0571
8.526,0.0000,-65884.1947,57.7695,0.4766,0.0561
8.895,0.0000,-25500.0050,40.5162,0.5256,0.0538
10.000,0.0000,-402936.9975,1406.8634,0.8467,0.0488
12.000,115.3790,-0.0290,9.2800,0.8550,0.0400
